1000	1.21733	1.23689
2000	1.33956	1.232
3000	1.40311	1.30044
4000	1.44711	1.28089
5000	1.41289	1.23689
6000	1.38844	1.29067
7000	1.51556	1.33956
8000	1.51067	1.39822
9000	1.54	1.41778
10000	1.51556	1.32489
